City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,13.870000000000005,64,17,9.16,AU,1724983593
1,longyearbyen,78.2186,15.6401,10.910000000000025,76,75,3.09,SJ,1724983358
2,adamstown,-25.066,-130.1015,18.950000000000045,68,61,6.28,PN,1724983379
3,yuanping,38.7153,112.7575,26.720000000000027,53,27,0.61,CN,1724983596
4,biltine,14.5333,20.9167,24.980000000000018,83,100,2.5,TD,1724983597
5,gislaved,57.3044,13.5408,16.730000000000018,83,93,2.53,SE,1724983598
6,mumbwa,-14.9783,27.0619,19.100000000000023,27,56,1.78,ZM,1724983599
7,bethel,41.3712,-73.414,20.08000000000004,83,100,2.37,US,1724983600
8,hawaiian paradise park,19.5933,-154.9731,28.74000000000001,83,12,1.34,US,1724983334
9,blackmans bay,-43.0167,147.3167,12.07000000000005,73,7,1.34,AU,1724983394
10,senanga,-16.1167,23.2667,16.660000000000025,25,0,2.02,ZM,1724983604
11,waitangi,-43.9535,-176.5597,13.79000000000002,91,55,2.24,NZ,1724983605
12,papatowai,-46.5619,169.4708,11.350000000000023,66,6,6.44,NZ,1724983606
13,mogocha,53.7333,119.7667,16.400000000000034,60,12,1.72,RU,1724983607
14,launceston,-41.45,147.1667,12.800000000000011,62,75,14.92,AU,1724983608
15,udachny,66.4167,112.4,12.310000000000002,49,1,2.87,RU,1724983609
16,saint-joseph,-21.3667,55.6167,18.210000000000036,77,48,6.52,RE,1724983611
17,alliance,40.9153,-81.1059,23.260000000000048,87,6,3.06,US,1724983574
18,keetmanshoop,-26.5833,18.1333,8.760000000000048,16,0,6.39,NA,1724983613
19,saint-pierre,-21.3393,55.4781,18.82000000000005,72,0,2.06,RE,1724983614
20,college,64.8569,-147.8028,15.990000000000009,68,75,5.14,US,1724983512
21,shar,49.5886,81.0453,18.950000000000045,48,6,4.78,KZ,1724983616
22,prince george,53.9166,-122.753,20.720000000000027,67,80,0.59,CA,1724983617
23,thiers,45.8333,3.5,18.180000000000007,82,100,1.25,FR,1724983618
24,turpan,42.9333,89.1667,31.28000000000003,29,100,1.34,CN,1724983620
25,tromso,69.6496,18.957,10.010000000000048,93,0,0.0,NO,1724983621
26,tazovsky,67.4667,78.7,7.800000000000011,92,85,5.9,RU,1724983458
27,bondo,3.8146,23.6866,20.310000000000002,99,100,1.13,CD,1724983623
28,edinburgh of the seven seas,-37.0676,-12.3116,11.420000000000016,72,20,14.52,SH,1724983624
29,rensselaer,42.7168,-73.4829,16.710000000000036,90,5,2.0,US,1724983625
30,palmer,42.1584,-72.3287,17.470000000000027,85,20,0.0,US,1724983626
31,dolores,-36.3132,-57.6792,6.660000000000025,94,99,3.28,AR,1724983627
32,hithadhoo,-0.6,73.0833,28.460000000000036,77,79,6.18,MV,1724983628
33,crane,31.3974,-102.3501,28.340000000000032,50,100,3.02,US,1724983630
34,buka,40.8108,69.1986,18.78000000000003,36,0,0.96,UZ,1724983631
35,bredasdorp,-34.5322,20.0403,4.930000000000007,89,5,2.06,ZA,1724983632
36,whangarei,-35.7317,174.3239,19.29000000000002,44,34,1.51,NZ,1724983633
37,invercargill,-46.4,168.35,11.120000000000005,74,72,3.58,NZ,1724983634
38,kas,36.2018,29.6377,26.27000000000004,58,0,2.04,TR,1724983635
39,grytviken,-54.2811,-36.5092,0.18999999999999773,93,100,1.51,GS,1724983637
40,puerto natales,-51.7236,-72.4875,2.6100000000000136,89,100,1.8,CL,1724983408
41,tolanaro,-25.0319,46.9987,20.04000000000002,83,0,6.17,MG,1724983502
42,port alfred,-33.5906,26.891,9.82000000000005,79,5,3.52,ZA,1724983641
43,stanley,54.868,-1.6985,10.010000000000048,89,0,2.57,GB,1724983642
44,aitape,-3.1374,142.3475,28.870000000000005,73,89,2.78,PG,1724983643
45,jhanjharpur,26.2667,86.2833,30.850000000000023,64,5,0.14,IN,1724983644
46,keflavik,64.0049,-22.5624,10.240000000000009,93,100,7.72,IS,1724983645
47,olonkinbyen,70.9221,-8.7187,6.5400000000000205,76,89,4.74,SJ,1724983647
48,whitehorse,60.7161,-135.0538,12.950000000000045,59,99,7.6,CA,1724983648
49,port-aux-francais,-49.35,70.2167,3.2700000000000387,70,99,11.76,TF,1724983649
50,aginskoye,51.1,114.53,17.950000000000045,43,0,6.31,RU,1724983650
51,bilibino,68.0546,166.4372,7.020000000000039,48,19,1.32,RU,1724983369
52,wailua homesteads,22.0669,-159.378,27.439999999999998,78,75,6.17,US,1724983652
53,yellowknife,62.456,-114.3525,15.310000000000002,87,95,1.34,CA,1724983653
54,badger,64.8,-147.5333,15.950000000000045,70,75,5.14,US,1724983656
55,thompson,55.7435,-97.8558,14.090000000000032,100,75,1.03,CA,1724983383
56,ushuaia,-54.8,-68.3,4.810000000000002,81,0,2.06,AR,1724983364
57,opp,31.2827,-86.2555,25.010000000000048,91,40,1.54,US,1724983659
58,holualoa,19.6228,-155.9522,27.910000000000025,92,40,5.14,US,1724983626
59,kapa'a,22.0752,-159.319,28.180000000000007,75,75,6.17,US,1724983661
60,punta arenas,-53.15,-70.9167,6.060000000000002,70,0,7.2,CL,1724983414
61,petropavlovsk-kamchatsky,53.0452,158.6483,21.33000000000004,46,0,4.0,RU,1724983663
62,vilyuchinsk,52.9306,158.4028,22.150000000000034,73,89,2.33,RU,1724983496
63,avarua,-21.2078,-159.775,25.03000000000003,73,20,3.6,CK,1724983665
64,codrington,-38.2667,141.9667,14.560000000000002,55,7,10.83,AU,1724983667
65,jieshi,22.8134,115.8257,28.590000000000032,81,2,3.55,CN,1724983668
66,nampa,43.5407,-116.5635,25.060000000000002,32,0,1.54,US,1724983579
67,inda silase,14.1031,38.2829,14.79000000000002,78,77,1.42,ET,1724983670
68,orange walk,17.8333,-88.8333,25.379999999999995,98,100,1.53,BZ,1724983671
69,saint-philippe,-21.3585,55.7679,20.77000000000004,78,50,7.2,RE,1724983672
70,utrik,11.2278,169.8474,28.79000000000002,74,3,6.69,MH,1724983673
71,pathein,16.7833,94.7333,24.670000000000016,96,100,3.77,MM,1724983674
72,traverse city,44.7631,-85.6206,18.879999999999995,95,0,1.85,US,1724983411
73,bubaque,11.2833,-15.8333,26.180000000000007,84,46,4.67,GW,1724983474
74,alice springs,-23.7,133.8833,32.75,15,1,6.17,AU,1724983493
75,carnarvon,-24.8667,113.6333,19.410000000000025,58,9,9.57,AU,1724983679
76,klyuchi,52.2667,79.1667,16.610000000000014,77,100,3.87,RU,1724983680
77,tura,25.5198,90.2201,28.100000000000023,79,87,0.49,IN,1724983427
78,envira,-7.3,-70.2167,27.010000000000048,40,50,1.06,BR,1724983682
79,iqaluit,63.7506,-68.5145,6.850000000000023,93,100,4.63,CA,1724983683
80,port mathurin,-19.6833,63.4167,22.110000000000014,66,64,11.17,MU,1724983684
81,lebu,-37.6167,-73.65,8.400000000000034,92,0,0.12,CL,1724983686
82,prince rupert,54.3161,-130.3201,14.050000000000011,82,100,1.03,CA,1724983675
83,newman,37.3138,-121.0208,32.24000000000001,31,0,2.24,US,1724983649
84,anadyr,64.75,177.4833,7.28000000000003,93,100,2.68,RU,1724983690
85,tiksi,71.6872,128.8694,4.32000000000005,75,7,2.88,RU,1724983589
86,nuuk,64.1835,-51.7216,3.340000000000032,93,100,2.57,GL,1724983692
87,albany,42.6001,-73.9662,19.230000000000018,87,24,1.39,US,1724983694
88,sandpoint,48.2766,-116.5533,22.02000000000004,53,0,0.45,US,1724983696
89,istaravshan,39.9142,69.0033,18.08000000000004,39,0,1.98,TJ,1724983697
90,kodiak,57.79,-152.4072,12.730000000000018,76,20,3.6,US,1724983698
91,wajir,1.7471,40.0573,23.57000000000005,70,6,6.3,KE,1724983699
